from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
5483954497,267197944,8.69,secondary,60,1
267197937,6657447412,10.50,secondary,60,1
6657447412,267197949,10.70,secondary,60,1
267197949,6657447411,37.10,secondary,60,1
6657447411,267609597,202.08,secondary,60,1
267609597,6657447423,6.84,secondary,60,1
6657447423,6657447408,3.27,secondary,60,1
6657447408,6657447409,7.06,secondary,60,1
6657447409,6657447410,10.65,secondary,60,1
267197934,4264008548,16.57,tertiary,50,1
4264008548,6657447431,19.40,tertiary,50,1
6657447436,7309155277,7.53,tertiary,50,1
7309155277,6657447435,6.94,tertiary,50,1
6657447435,6657447427,5.97,tertiary,50,1
5799663732,12192097078,16.22,secondary,60,1
12192097078,4083435353,112.00,secondary,60,1
4083435353,6436408280,36.94,secondary,60,1
6436408280,13506319768,19.78,secondary,60,1
13506319768,267250994,7.40,secondary,60,1
267250994,5434483896,11.42,secondary,60,1
249783293,12247930695,20.50,tertiary,50,1
12247930695,10248638952,10.02,tertiary,50,1
10248638952,10248624601,7.47,tertiary,50,1
10248624601,9323170812,43.18,tertiary,50,1
9323170812,249782337,7.79,tertiary,50,1
249782337,1762945147,45.82,tertiary,50,1
1762945147,10248567779,24.44,tertiary,50,1
10248567779,1762945117,9.85,tertiary,50,1
1762945117,10248567781,3.68,tertiary,50,1
10248567781,1763007742,16.01,tertiary,50,1
1763007742,1191294765,5.05,tertiary,50,1
267249915,267249916,6.44,secondary,60,0
267249916,267249915,6.44,secondary,60,0
267249916,267249899,6.44,secondary,60,0
267249899,267249916,6.44,secondary,60,0
267249899,5485189758,6.44,secondary,60,0
5485189758,267249899,6.44,secondary,60,0
5485189758,5485189740,6.44,secondary,60,0
5485189740,5485189758,6.44,secondary,60,0
5485189740,5485189721,6.44,secondary,60,0
5485189721,5485189740,6.44,secondary,60,0
267249914,5485189723,9.19,secondary,60,1
5485189723,5485189725,8.99,secondary,60,1
5485189725,5802016576,3.67,secondary,60,1
5802016576,5485189724,5.24,secondary,60,1
5485189724,5485189722,7.60,secondary,60,1
5485189722,5485189726,9.62,secondary,60,1
5485189726,6742331767,114.96,secondary,60,1
6742331767,9212682358,48.49,secondary,60,1
9212682358,9186342839,13.03,secondary,60,1
621248447,267249919,7.04,secondary,60,0
267249919,621248447,7.04,secondary,60,0
267249919,5484083378,6.57,secondary,60,0
5484083378,267249919,6.57,secondary,60,0
5484083378,621248445,6.56,secondary,60,0
621248445,5484083378,6.56,secondary,60,0
621248445,5484083376,6.57,secondary,60,0
5484083376,621248445,6.57,secondary,60,0
5484083376,267249920,6.56,secondary,60,0
267249920,5484083376,6.56,secondary,60,0
267249926,4083435329,16.14,secondary,60,1
4083435329,5484083362,7.88,secondary,60,1
5484083362,4083435331,7.60,secondary,60,1
4083435331,10264334480,28.96,secondary,60,1
10264334480,10264328233,14.27,secondary,60,1
10264328233,10264334479,10.95,secondary,60,1
10264334479,6531473581,52.16,secondary,60,1
6531473581,10264334471,12.78,secondary,60,1
10264334471,10264334466,30.84,secondary,60,1
10264334466,10264334469,42.58,secondary,60,1
10264334469,4083435332,11.24,secondary,60,1
4083435332,10264334427,70.74,secondary,60,1
10264334427,4083435338,57.45,secondary,60,1
4083435338,10264334446,2.84,secondary,60,1
