src,dst
268212538,1681456906
1681456906,268212537
309859083,309859084
309859084,309859085
309859085,267193308
267193308,7009786330
7009786330,309859086
309859086,309859087
309859087,309859088
621248514,3742305557
3742305557,11540517133
11540517133,3644533697
3644533697,6645848781
6645848781,356742459
356742459,6645848774
6645848774,943831164
943831164,356742458
356742458,3742305553
3742305553,356742457
356742457,943875579
943875579,6657447317
6657447317,356742455
356742455,356742453
356742453,356742452
356742452,943876121
943876121,356742451
356742451,356742450
356742450,6657447336
6657447336,3742305546
3742305546,3742305543
3742305543,7305381090
11792964333,11792964332
563659586,6655403109
6655403109,6655403107
6655403107,6576535193
6576535193,12000417015
12000417015,12144692250
12144692250,6655403110
6655403110,6576535197
6576535197,6576529247
6576529247,9794249873
9794249873,12109755964
12109755964,10302298919
10302298919,267193238
267193238,9861910938
9861910938,10302298918
10302298918,301037192
301037192,6576535199
6576535199,301037193
301037193,6669134719
6669134719,11744871196
6657116910,309863572
309863572,11647561829
11647561829,6436186878
6436186878,6436186876
6436186876,309863573
309863573,947950085
947950085,11647666716
11647666716,6436059333
6436059333,2431986065
2431986065,309863574
309863574,947950528
947950528,309863575
309863575,6593532608
6593532608,267193322
267193322,947950522
947950522,947950310
947950310,947950148
947950148,11655637416
11655637416,9854764049
9854764049,9854764048
9854764048,309863577
309863577,9854764050
9854764050,11655637411
11655637411,9854917360
9854917360,947950582
947950582,9767027244
9767027244,947950557
947950557,9854764045
9854764045,947950928
947950928,947950161
947950161,9854917362
9854917362,947950938
947950938,947950605
947950605,10255352599
10255352599,309863580
267193324,1764089462
1764089462,910451008
910451008,910451276
910451276,910450682
910450682,910450557
910450557,309858212
309858910,267193324
309858208,2905985813
2905985813,2905985834
2905985834,910451136
910451136,2905985833
2905985833,910450745
910450745,314505985
2431986044,10248639545
10248639545,6961442927
6961442927,6961442943
6961442943,12000402765
12000402765,910450920
910450920,910451079
910451079,910451216
910451216,309859083
314505985,314505986
277419824,9792383706
9792383706,9792383697
9792383697,9792383698
9792383698,9792383699
9792383699,9792407221
9792407221,412331452
280740686,10261840106
10261840106,315999027
315999027,10261841016
10261841016,1811703544
1811703544,563643195
563643195,5209562476
5209562476,1811692135
1811692135,10279857784
10279857784,60890383
